family,genus,authors,scientific_name,species_number,kew_id,powo_uri
Cyperaceae,Carex,L.,Carex L.,2060,330029-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:330029-2
Cyperaceae,Cyperus,L.,Cyperus L.,950,330001-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:330001-2
