Lecythidaceae,Crateranthus,Baker f.,Crateranthus Baker f.,"A.B.Rendle & al., Cat. Pl. Oban: 35 (1913)",4,"Cameroon, Gabon, Nigeria, Republic of Congo, Zaire","Cameroon, Congo, Gabon, Nigeria, Zaire",unknown,unknown,21537-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:21537-1
Lecythidaceae,Eschweilera,Mart. ex DC.,Eschweilera Mart. ex DC.,Prodr. 3: 293 (1828),97,"Bolivia, Brazil, Colombia, Costa Rica, Ecuador, French Guiana, Guyana, Honduras, Mexico, Nicaragua, Panama, Peru, Suriname, Trinidad-Tobago, Venezuela","Bolivia, Brazil North, Brazil Northeast, Brazil Southeast, Brazil West-Central, Colombia, Costa Rica, Ecuador, French Guiana, Guyana, Honduras, Mexico Gulf, Mexico Southwest, Nicaragua, Panama, Peru, Suriname, Trinidad-Tobago, Venezuela",unknown,unknown,326987-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:326987-2
Lecythidaceae,Foetidia,Comm. ex Lam.,Foetidia Comm. ex Lam.,Encycl. 2: 457 (1788),18,"Comoros, Madagascar, Mauritius, Rodrigues, Reunion, Tanzania","Comoros, Madagascar, Mauritius, Rodrigues, Reunion, Tanzania",unknown,unknown,27546-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:27546-1
Lecythidaceae,Grias,L.,Grias L.,"Syst. Nat., ed. 10. 2: 1075 (1759)",12,"Belize, Colombia, Costa Rica, Ecuador, Guatemala, Honduras, Jamaica, Nicaragua, Panama, Peru, Venezuela","Belize, Colombia, Costa Rica, Ecuador, Guatemala, Honduras, Jamaica, Nicaragua, Panama, Peru, Venezuela",unknown,unknown,326794-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:326794-2
Lecythidaceae,Gustavia,L.,Gustavia L.,"Pl. Surin. 12: 17 (1775), nom. cons.",46,"Bolivia, Brazil, Colombia, Costa Rica, Ecuador, French Guiana, Guyana, Panama, Peru, Suriname, Venezuela","Bolivia, Brazil North, Brazil Northeast, Brazil Southeast, Brazil West-Central, Colombia, Costa Rica, Ecuador, French Guiana, Guyana, Panama, Peru, Suriname, Venezuela","Trinidad-Tobago, Windward Is.","Trinidad-Tobago, Windward Is.",331637-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:331637-2
Lecythidaceae,Lecythis,Loefl.,Lecythis Loefl.,Iter Hispan.: 189 (1758),32,"Bolivia, Brazil, Colombia, Costa Rica, Ecuador, French Guiana, Guyana, Nicaragua, Panama, Peru, Suriname, Venezuela","Bolivia, Brazil North, Brazil Northeast, Brazil Southeast, Brazil West-Central, Colombia, Costa Rica, Ecuador, French Guiana, Guyana, Nicaragua, Panama, Peru, Suriname, Venezuela","El Salvador, Honduras, Trinidad-Tobago","El Salvador, Honduras, Trinidad-Tobago",27598-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:27598-1
Lecythidaceae,Napoleonaea,P.Beauv.,Napoleonaea P.Beauv.,Napoléone: 1 (1804),17,"Angola, Benin, Burkina Faso, Cameroon, Central African Republic, Cote d'Ivoire, Equatorial Guinea, Gabon, Ghana, Guinea, Gulf of Guinea Is., Liberia, Nigeria, Republic of Congo, Sierra Leone, Togo, Zambia, Zaire","Angola, Benin, Burkina, Cabinda, Cameroon, Central African Repu, Congo, Equatorial Guinea, Gabon, Ghana, Guinea, Gulf of Guinea Is., Ivory Coast, Liberia, Nigeria, Sierra Leone, Togo, Zambia, Zaire",unknown,unknown,326493-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:326493-2
Lecythidaceae,Oubanguia,Baill.,Oubanguia Baill.,Bull. Mens. Soc. Linn. Paris 2: 869 (1890),3,"Cameroon, Central African Republic, Equatorial Guinea, Gabon, Nigeria, Republic of Congo, Zaire","Cameroon, Central African Repu, Congo, Equatorial Guinea, Gabon, Nigeria, Zaire",unknown,unknown,39491-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:39491-1
Lecythidaceae,Petersianthus,Merr.,Petersianthus Merr.,"Philipp. J. Sci., C 11: 200 (1916)",2,"Angola, Cameroon, Central African Republic, Cote d'Ivoire, Equatorial Guinea, Gabon, Ghana, Guinea, Liberia, Nigeria, Philippines, Republic of Congo, Sierra Leone, Zaire","Angola, Cabinda, Cameroon, Central African Repu, Congo, Equatorial Guinea, Gabon, Ghana, Guinea, Ivory Coast, Liberia, Nigeria, Philippines, Sierra Leone, Zaire",unknown,unknown,21543-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:21543-1
Lecythidaceae,Pierrina,Engl.,Pierrina Engl.,Bot. Jahrb. Syst. 43: 374 (1909),1,"Cameroon, Equatorial Guinea, Gabon","Cameroon, Equatorial Guinea, Gabon",unknown,unknown,38125-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:38125-1
Lecythidaceae,Planchonia,Blume,Planchonia Blume,Fl. Serres Jard. Eur. 7: 24 (1851),9,"Andaman Is., Australia, Indonesia, Indonesia, East Timor, Indonesia, Malaysia, Indonesia, Papua New Guinea, Malaysia, Papua New Guinea, Solomon Islands, Philippines, Thailand","Andaman Is., Borneo, Jawa, Lesser Sunda Is., Malaya, New Guinea, Northern Territory, Philippines, Queensland, Solomon Is., Sulawesi, Sumatera, Thailand, Western Australia",unknown,unknown,27706-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:27706-1
Lecythidaceae,Rhaptopetalum,Oliv.,Rhaptopetalum Oliv.,"J. Linn. Soc., Bot. 8: 159 (1865)",13,"Cameroon, Cote d'Ivoire, Equatorial Guinea, Gabon, Ghana, Gulf of Guinea Is., Nigeria, Republic of Congo, Zaire","Cameroon, Congo, Equatorial Guinea, Gabon, Ghana, Gulf of Guinea Is., Ivory Coast, Nigeria, Zaire",unknown,unknown,325982-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:325982-2
Lecythidaceae,Scytopetalum,Pierre ex Engl.,Scytopetalum Pierre ex Engl.,"H.G.A.Engler & K.A.E.Prantl, Nat. Pflanzenfam., Nachtr. 1: 244 (1897)",4,"Angola, Cameroon, Central African Republic, Cote d'Ivoire, Equatorial Guinea, Gabon, Ghana, Gulf of Guinea Is., Liberia, Republic of Congo, Sierra Leone, Zaire","Cabinda, Cameroon, Central African Repu, Congo, Equatorial Guinea, Gabon, Ghana, Gulf of Guinea Is., Ivory Coast, Liberia, Sierra Leone, Zaire",unknown,unknown,28287-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:28287-1
